,model,early_stop,unfairness_reg,lr,val_score,abs_score,over_score,under_score,non_parity_score,,test
abs_score,gmf,6.034808511190639e-06,0.6751172748455117,0.06891520485301547,0.13472960889339447,0.1350041776895523,0.1375294327735901,0.13615423440933228,0.1276402473449707,0.029019946232438087,U
over_score,gmf,6.034808511190639e-06,0.6751172748455117,0.06891520485301547,0.0,0.0,0.0,0.0,0.005129160682360331,0.05511295487483343,U
under_score,gmf,6.034808511190639e-06,0.6751172748455117,0.06891520485301547,0.13472962081432344,0.1350041674077511,0.13752943863471348,0.13615423798561097,0.1327136014898618,0.0817853672305743,U
non_parity_score,gmf,6.034808511190639e-06,0.6751172748455117,0.06891520485301547,4.336237907409668e-05,0.00024443864822387695,7.56382942199707e-05,0.00035437941551208496,0.00032073259353637695,7.331371307373047e-05,U
rmse,gmf,6.034808511190639e-06,0.6751172748455117,0.06891520485301547,0.44051289558410645,0.46057289838790894,0.4629364013671875,0.46196430921554565,0.41729509830474854,0.3989613652229309,U
val_score,gmf,1.9509089088554744e-06,0.6243727448247725,0.1427964895144661,0.0641695111989975,0.06535767763853073,0.06496693938970566,0.06773929297924042,0.06480802595615387,0.06971916556358337,O
abs_score,gmf,1.9509089088554744e-06,0.6243727448247725,0.1427964895144661,0.0641695111989975,0.06444020569324493,0.05528491362929344,0.063125841319561,0.03668183460831642,0.06467387080192566,O
over_score,gmf,1.9509089088554744e-06,0.6243727448247725,0.1427964895144661,0.0,0.0005682944258054097,0.008500405748685201,0.004606685638427734,0.0419215656320254,0.0029932141304016115,O
under_score,gmf,1.9509089088554744e-06,0.6243727448247725,0.1427964895144661,0.06416951020558676,0.06478938311338425,0.05646653324365616,0.06313260674476623,0.022886459430058795,0.06672595342000326,O
non_parity_score,gmf,1.9509089088554744e-06,0.6243727448247725,0.1427964895144661,7.88569450378418e-05,0.00022464990615844727,0.0002435743808746338,5.4329633712768555e-05,0.0002938508987426758,0.00023671984672546387,O
rmse,gmf,1.9509089088554744e-06,0.6243727448247725,0.1427964895144661,0.42002955079078674,0.3918348550796509,0.38784298300743103,0.388205349445343,0.37474414706230164,0.3864799439907074,O
val_score,nmf,4.08162527140754e-06,0.4531553381175936,0.18987819668309064,0.16274169087409973,0.1656741201877594,0.16371531784534454,0.16652911901474,0.16681869328022003,0.1633770614862442,P
abs_score,nmf,4.08162527140754e-06,0.4531553381175936,0.18987819668309064,0.15957111120224,0.1494089812040329,0.1543622612953186,0.16652911901474,0.16681869328022003,0.1633770614862442,P
over_score,nmf,4.08162527140754e-06,0.4531553381175936,0.18987819668309064,0.0019194896022478739,0.11013690700133641,0.09047256509462992,0.0,0.0,0.1633770537376404,P
under_score,nmf,4.08162527140754e-06,0.4531553381175936,0.18987819668309064,0.1608221962551276,0.05553722222646078,0.07324276020129522,0.16652911096811296,0.16681868890921275,0.0,P
non_parity_score,nmf,4.08162527140754e-06,0.4531553381175936,0.18987819668309064,8.459389209747314e-05,3.266334533691406e-05,0.0013535022735595703,3.0994415283203125e-06,0.0006791949272155762,0.0018587112426757812,P
rmse,nmf,4.08162527140754e-06,0.4531553381175936,0.18987819668309064,0.5818964838981628,0.4661290943622589,0.6979113221168518,0.9623193740844727,1.1257164478302002,3.9511430263519287,P
val_score,nmf,7.718550641725243e-06,0.2266553805401324,0.14693412331440658,0.05562774837017059,0.05930541828274727,0.05517074465751648,0.055769309401512146,0.0556466281414032,0.05789683014154434,OP
abs_score,nmf,7.718550641725243e-06,0.2266553805401324,0.14693412331440658,0.05562774837017059,0.05930541828274727,0.05517074465751648,0.05293668806552887,0.05270954221487045,0.05684523284435272,OP
over_score,nmf,7.718550641725243e-06,0.2266553805401324,0.14693412331440658,0.0,0.0,0.0,0.047865922749042514,0.043013060688972475,0.05674592167139053,OP
under_score,nmf,7.718550641725243e-06,0.2266553805401324,0.14693412331440658,0.055627749959627784,0.05930541823307673,0.055170745948950446,0.007903389533360798,0.01263356218735377,0.0011509071787198385,OP
non_parity_score,nmf,7.718550641725243e-06,0.2266553805401324,0.14693412331440658,6.5248459577560425e-06,2.0014122128486633e-06,1.3083219528198242e-05,1.1742115020751953e-05,7.361173629760742e-05,1.2576580047607422e-05,OP
rmse,nmf,7.718550641725243e-06,0.2266553805401324,0.14693412331440658,0.6637499928474426,0.6930310726165771,0.7053681015968323,0.4362984299659729,0.4189906120300293,0.44550853967666626,OP
val_score,gmf,7.793372942716118e-07,0.5091953128726919,0.22637124956008406,0.13837458193302155,0.13834427297115326,0.14083851873874664,0.13996882736682892,0.13726669549942017,0.13763514161109924,U
abs_score,gmf,7.793372942716118e-07,0.5091953128726919,0.22637124956008406,0.12680839002132416,0.12824006378650665,0.12601222097873688,0.1302795708179474,0.09746046364307404,0.10161842405796051,U
over_score,gmf,7.793372942716118e-07,0.5091953128726919,0.22637124956008406,0.006229046285152435,0.0050520999232927955,0.008905327121416728,0.004844635625680288,0.11639845718940099,0.11956040352582932,U
under_score,gmf,7.793372942716118e-07,0.5091953128726919,0.22637124956008406,0.13214554091294606,0.13329216609398523,0.13193318784236907,0.13512419193983077,0.020868231654167176,0.01807475169499715,U
